Kalimat,Anotasi Program,Anotasi Furqon,Anotasi Richard,Richard dan Furqon,Anotasi Yuly
"Romdin berkata dalam pemaparan hasil survei, ""Tingkat popularitas dan elektabilitas kandidat gubernur atau wakil gubernur Jawa Barat cenderung bersaing ketat antara dua pasangan saja, yakni Rindu dan Deddy-Dedi,"" di Jalan Progo, Kota Bandung, Senin 2 April.",None (more than 30),B-A0 B-V O O O O O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 B-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC O B-AM-TMP I-AM-TMP I-AM-TMP O,B-A0 B-V B-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP O O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O I-A1 I-A1 I-A1 I-A1 O O B-AM-LOC I-AM-LOC I-AM-LOC O B-AM-LOC I-AM-LOC O B-AM-TMP I-AM-TMP I-AM-TMP O,Beda,
"Romdin memaparkan, tingkat popularitas Emil mencapai 92,89 persen, disusul Demiz sebesar 92,44 persen, di Kabupaten Bandung Barat. Sementara, tingkat elektabilitas posisi pertama ditempati Emil-Uu yakni 38 persen dan Demiz-Dedi Mulyadi sebesar 33,78 persen.",None (more than 30),B-A0 B-V O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O B-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC O O O O O O O O O O O O O O O O O O O  |||  O O O O O O O O O O O O O O O O O O O O O O O B-A0 I-A0 I-A0 I-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,B-A0 B-V O B-A1 I-A1 I-A1 B-AM-EXT I-AM-EXT I-AM-EXT O I-A1 I-A1 B-AM-EXT I-AM-EXT I-AM-EXT O B-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC O O O B-A1 I-A1 I-A1 I-A1 B-V B-A0 I-A0 O B-AM-EXT I-AM-EXT O B-A0 I-A0 B-AM-EXT I-AM-EXT I-AM-EXT O,Beda,
"Romdin berujar, Deddy Mizwar unggul dalam tingkat popularitas, yakni 94,40 persen, di Kabupaten Garut. Kemudian, Emil 81,40 persen dan disusul Dedi Mulyadi yakni 52,80 persen. Untuk tingkat elektabilitas, Demiz masih lebih unggul, yakni 48,60 persen.",None (more than 30),B-A0 B-V O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O B-AM-EXT I-AM-EXT I-AM-EXT O B-AM-LOC I-AM-LOC I-AM-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O  |||  O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-A0 O O B-V O B-AM-EXT I-AM-EXT I-AM-EXT O,B-A0 B-V O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O B-AM-EXT I-AM-EXT I-AM-EXT O B-AM-LOC I-AM-LOC I-AM-LOC O O O B-A1 B-AM-EXT I-AM-EXT O B-V B-A0 I-A0 O B-AM-EXT I-AM-EXT O B-A1 I-A1 I-A1 O B-A0 O O B-V O O B-AM-EXT I-AM-EXT O,Beda,
"Romdin menyebutkan, begitupun untuk Kota Sukabumi tingkat popularitas Demiz masih mengungguli pasangan lain. Sementara, elektabilitas Emil unggul tipis yakni 40, 75 persen dibanding Demiz yakni 40 persen.",None (more than 30),B-A0 B-V O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O O O O O O O O O O O O O O O O O O  |||  O O O O O O O O O O O O O O O O O B-A0 I-A0 B-V B-AM-ADV B-AM-EXT I-AM-EXT I-AM-EXT I-AM-EXT I-AM-EXT B-A1 I-A1 I-A1 I-A1 I-A1 O,B-A0 B-V O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O O O B-A0 I-A0 B-V B-AM-ADV B-A1 I-A1 O B-AM-EXT I-AM-EXT I-A1 I-A1 O B-AM-EXT I-AM-EXT O,Beda,
"Romdin berujar, ""Terakhir, Kota Bandung, Emil memang lebih tinggi. Memang Emil lebih unggul karena memang basis wilayahnya"".",B-V O O B-A0 B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 O O O B-A0 I-A0 B-AM-ADV B-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU O O,B-A0 B-V O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,B-A0 B-V O O B-A1 O I-A1 I-A1 O I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O I-A1 I-A1 I-A1 I-A1 B-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU O O,Beda,
"Romdin berucap, ""Dua kontestan Rindu dan Deddy-Dedi cenderung imbang. Sementara yang lain harus kerja keras mengejar karena jauh di bawah"".",B-A0 O B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 B-AM-ADV B-A0 I-A0 I-A0 I-A0 I-A0 B-AM-MOD O O B-V B-AM-CAU I-AM-CAU B-AM-LOC I-AM-LOC O O,B-A0 B-V O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,B-A0 B-V O O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 B-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU O O,Beda,
"Romdin menilai pasangan Asyik dan Hasanah sulit untuk mengejar dua paslon lainnya, meski waktu kampanye masih beberapa bulan. Sebab, dilihat dari tingkat elektabilitas, baik pasangan Hasanah maupun Asyik jumlahnya bahkan tidak mencapai 10 persen di empat wilayah tersebut.",None (more than 30),B-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,B-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O B-AM-CAU O I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU O I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU B-AM-NEG B-AM-EXT I-AM-EXT I-AM-EXT B-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC O ,Beda,
Pasangan calon wali kota dan wakil wali kota Bandung nomor urut 3 Oded M Danial-Yana Mulyana mengatakan masih banyak warga miskin di Kota Bandung.,B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 B-V B-A1 I-A1 I-A1 I-A1 B-AM-LOC I-AM-LOC I-AM-LOC O,B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 B-V B-A1 I-A1 I-A1 I-A1 B-AM-LOC I-AM-LOC I-AM-LOC O,B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 B-V B-A1 I-A1 I-A1 I-A1 B-AM-LOC I-AM-LOC I-AM-LOC O,Sama,
Pasangan calon wali kota dan wakil wali kota Bandung nomor urut 3 Oded M Danial-Yana Mulyana bertekad mengurangi angka warga miskin di Kota Bandung.,B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 O B-A1 I-A1 I-A1 I-A1 B-AM-LOC I-AM-LOC I-AM-LOC O,B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 B-V B-A1 I-A1 I-A1 I-A1 B-AM-LOC I-AM-LOC I-AM-LOC O,B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 B-V B-A1 I-A1 I-A1 I-A1 B-AM-LOC I-AM-LOC I-AM-LOC O,Sama,
"Oded berkata, “Kami ini kan masih ada angka kemiskinan ya. Saya kira inilah yang dikatakan kami harus melanjutkan, menyempurnakan, memperbaiki, mengurangi angka kemiskinan di Bandung,"" beberapa waktu lalu.",None (more than 30),B-A0 B-V O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 B-AM-TMP I-AM-TMP I-AM-TMP O,B-A0 B-V O O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O I-A1 O I-A1 O I-A1 I-A1 I-A1 B-AM-LOC I-AM-LOC O O B-AM-TMP I-AM-TMP I-AM-TMP O,Beda,
Oded mengaku telah memiliki program untuk menurunkan angka kemiskinan. Salah satunya dengan memfasilitasi masyarakat lewat program warung warga mandiri.,B-A0 B-V O B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 B-AM-GOL I-AM-GOL I-AM-GOL I-AM-GOL I-AM-GOL I-AM-GOL I-AM-GOL O,B-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O O O O O O O O O O O O  |||  B-A0 O B-AM-MOD B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O O O O O O O O O O O O,B-A0 B-V O I-V B-A1 I-A1 I-A1 I-A1 I-A1 O B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 O,Beda,
Oded mengatakan warung warga mandiri ini akan membantu meningkatkan daya beli masyarakat.,B-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,B-A0 B-V B-A1 I-A1 I-A1 I-A1 B-AM-GOL I-AM-GOL I-AM-GOL I-AM-GOL I-AM-GOL I-AM-GOL O,B-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,Beda,
"Oded berkata, “Jadi nanti setiap kelurahan itu akan dibuat warung, tetapi warung itu milik warga masyarakat”.",B-A0 B-V O O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O B-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU O O,B-A0 B-V O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,B-A0 B-V O O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O O,Beda,
"Oded menambahkan masyarakat akan didorong belanja ke warung tersebut. Untuk memotivasi warga, harga barang di warung itu akan lebih murah.",B-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 B-AM-GOL I-AM-GOL I-AM-GOL I-AM-GOL I-AM-GOL I-AM-GOL B-AM-LOC I-AM-LOC I-AM-LOC B-AM-MOD B-AM-CAU I-AM-CAU O,B-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O O O O O O O O O O O O O O,B-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O B-AM-GOL I-AM-GOL I-AM-GOL O B-A0 I-A0 B-AM-LOC I-AM-LOC I-AM-LOC B-AM-MOD B-A1 I-A1,Beda,
"Oded berujar, “Supaya nanti sembako murah itu bukan hanya insidentil, tetapi mereka setiap saat mendapatkan harga murah"".",B-A0 B-V O O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O O B-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU B-V B-A1 I-A1 O O,B-A0 B-V O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,B-A0 B-V O O B-AM-GOL I-AM-GOL I-AM-GOL I-AM-GOL I-AM-GOL I-AM-GOL I-AM-GOL I-AM-GOL O I-AM-GOL I-AM-GOL I-AM-GOL I-AM-GOL I-AM-GOL I-AM-GOL I-AM-GOL O O,Beda,
"Oded menilai dengan program ini dapat menyelesaikan persoalan kemiskinan ini dari tingkatan paling bawah. Dengan demikian, warga memiliki kemandirian secara ekonomi.",B-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 B-AM-CAU I-AM-CAU I-AM-CAU B-A0 B-AM-GOL I-AM-GOL B-AM-ADV I-AM-ADV O,B-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O O O O O O O O O O  |||  O O O O O O O O O O O O O O O O O O B-A0 B-V B-A1 I-A1 I-A1 O,B-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O B-AM-CAU I-AM-CAU O B-A0 B-V B-A1 B-AM-ADV I-AM-ADV O,Beda,
"Oded berpendapat persoalan kemiskinan Kota Bandung memang masih menjadi salah satu masalah besar. Pertumbuhan ekonomi di Kota Bandung yang berada di angka 7 persen, tetapi angka gini rationya berada di angka 0,42.",None (more than 30),B-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O O O O O O O O O O O O O O O O O O O O O O,B-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O B-A0 I-A0 B-AM-LOC I-AM-LOC I-AM-LOC I-A1 I-A1 B-AM-EXT I-AM-EXT I-AM-EXT I-AM-EXT O B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 B-AM-EXT I-AM-EXT O,Beda,
"Oded bertutur, ""Gini ratio itu kan ketimpangan. Nah Saya kira di Kota Bandung walaupun dari sisi transaksi jual beli ekonomi sangat tinggi tapi tidak dinikmati oleh orang Nandung. Berarti ini adalah sesungguhnya ada hal yang harus kita selesaikan"".",None (more than 30),B-A0 B-V O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,B-A0 B-V O O B-A1 I-A1 I-A1 I-A1 I-A1 O I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O O,Beda,
"Komisi Pemilihan Umum Kota Bekasi, Jawa Barat mencatat sebanyak 1,3 juta lebih warga setempat masuk dalam Daftar Pemilih Sementara Pilkada 2018.",B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,B-A0 I-A0 I-A0 I-A0 I-A0 O I-A0 I-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,Beda,
"Komisioner KPU Kota Bekasi Syafrudin berkata, ""DPS Pilkada Kota Bekasi ditetapkan sebanyak 1.383.018 pemilih,"" di Bekasi, Ahad 1 April.",B-A0 I-A0 I-A0 I-A0 I-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 B-AM-EXT I-AM-EXT B-A1 I-A1 O B-AM-LOC I-AM-LOC O B-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP,B-A0 I-A0 I-A0 I-A0 I-A0 B-V O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 B-AM-LOC I-AM-LOC O B-AM-TMP I-AM-TMP I-AM-TMP O,B-A0 I-A0 I-A0 I-A0 I-A0 B-V O O B-A1 I-A1 I-A1 I-A1 I-A1 B-AM-EXT I-AM-EXT I-AM-EXT O O B-AM-LOC I-AM-LOC O B-AM-TMP I-AM-TMP I-AM-TMP O,Beda,
"Komisioner KPU Kota Bekasi Syafrudin berpendapat jumlah itu masih di bawah target yang ditetapkan pada awalnya sebanyak 1,8 juta jiwa.",B-A0 I-A0 I-A0 I-A0 I-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 B-AM-TMP I-AM-TMP B-AM-EXT I-AM-EXT I-AM-EXT I-AM-EXT O,B-A0 I-A0 I-A0 I-A0 I-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,B-A0 I-A0 I-A0 I-A0 I-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 B-AM-EXT I-AM-EXT I-AM-EXT I-AM-EXT O,Beda,
Syafrudin mengatakan kegagalan target itu dipicu sejumlah hal di antaranya adalah data ganda.,B-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,B-A0 B-V B-A1 I-A1 I-A1 B-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU O,B-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,Beda,
"Syafrudin berkata, ""Kami masih membersihkan data ganda yang kini tercantum dalam DPS. Datanya akan terus diinput sampai dengan penetapan Daftar Pemilih Tetap pada 10 April 2018"".",None (more than 30),B-A0 B-V O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,"B-A0 B-V O O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O O

O O O O B-A0 O B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O B-A0 B-AM-MOD O B-V B-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP O O",Beda,
Syafrudin mengatakan masih menyisakan sekitar 200 ribu jiwa warga Kota Bekasi yang mempunyai hak pilih untuk dimasukan dalam DPT.,B-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,B-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,B-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,Sama,
"Syafrudin berkata, ""Dari hasil penetapan DPS melalui rapat pleno pada akhir pekan lalu tercatat ada sekitar 200 ribu lebih warga yang belum terdata di DPS"".",B-A0 B-V O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 B-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP B-V B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 B-AM-NEG B-A1 B-AM-LOC I-AM-LOC O O,B-A0 B-V O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,B-A0 B-V O O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 B-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O O,Beda,
Belum terdatanya warga tersebut dikarenakan waktu yang terlalu mepet untuk pengesahan serta kurangnya prasarana seperti perangkat komputer yang digunakan petugas.,B-AM-NEG B-A0 I-A0 I-A0 B-AM-CAU B-A1 I-A1 I-A1 I-A1 B-AM-GOL I-AM-GOL I-AM-GOL I-AM-GOL I-AM-GOL I-AM-GOL I-AM-GOL I-AM-GOL I-AM-GOL I-AM-GOL I-AM-GOL O,B-A0 I-A0 I-A0 I-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,B-A0 I-A0 I-A0 I-A0 B-V B-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU O,Beda,
"Syafrudin menambahkan, proyeksi daftar pemilih tetap akan menurun dari target 1,8 juta jiwa.",B-A0 B-V O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,B-A0 B-V O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,B-A0 B-V O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,Sama,
"Syafrudin berkata, ""Perkiraan kami hanya mencapai 1,5 juta jiwa. Padahal, sebelumnya diproyeksinya mencapai 1,8 juta jiwa. Bagi yang belum keinput, tetap bisa mencoblos. Syarat sahnya yakni mempunyai identitas Kota Bekasi secara elektronik, atau minimal sudah direkam"".",None (more than 30),B-A0 B-V O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,B-A0 B-V O O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O I-A1 O I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O I-A1 I-A1 I-A1 I-A1 O I-A1 I-A1 I-A1 O I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O I-A1 I-A1 I-A1 I-A1 O O,Beda,
"Mantan Panglima TNI Jenderal Gatot Nurmantyo resmi memasuki masa pensiun pada Sabtu 31 Maret 2018. Kini, peluang Gatot berkiprah di kancah politik terbuka lebar.",B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 O B-V B-A1 I-A1 B-AM-TMP I-AM-TMP I-AM-TMP O O O O O B-A0 B-A0 B-V B-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC O,B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 O B-V B-A1 I-A1 B-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP O O O O O O O O O O O O  |||  O O O O O O O O O O O O O O O O O O O O O B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 B-V B-AM-ADV O,B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 O B-V B-A1 I-A1 B-AM-TMP I-AM-TMP I-AM-TMP O B-AM-TMP B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 B-V B-AM-ADV O,Beda,
"Kini, Gatot berpeluang berkiprah di kancah politik terbuka lebar.",B-AM-TMP O B-A0 I-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 O,B-AM-TMP O B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 B-V B-AM-ADV O,B-AM-TMP O B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 B-V B-AM-ADV O,Sama,
Gatot Nurmantyo mulai santer dibicarakan sejak kemunculannya dengan kopiah putih saat mengamankan aksi protes terhadap mantan Gubernur DKI Jakarta Basuki Tjahaja Purnama pada 2 Desember 2016 yang dikenal dengan sebutan Aksi 212.,None (more than 30),B-A0 I-A0 O B-AM-ADV B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 B-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP O O O O O O O,B-A0 I-A0 O B-AM-ADV B-V B-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP O,Beda,
"Gatot menjawab, menanggapi isu tersebut, hal itu dilakukan untuk menekan psikologi massa yang berkecamuk.",B-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 B-AM-GOL I-AM-GOL I-AM-GOL I-AM-GOL B-AM-ADV I-AM-ADV O,B-A0 B-V O B-A1 I-A1 I-A1 O B-AM-GOL I-AM-GOL I-AM-GOL I-AM-GOL I-AM-GOL I-AM-GOL I-AM-GOL I-AM-GOL I-AM-GOL O,B-A0 B-V O B-A1 I-A1 I-A1 O I-A1 I-A1 I-A1 B-AM-GOL I-AM-GOL I-AM-GOL I-AM-GOL I-AM-GOL I-AM-GOL O,Beda,
